1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC(0.5)
2,Cifar100,FedAvg,0,7.3532086519177815,0.008431592121731111,0.49944242693745694,0.04203497652200667,0.14035610972865972
3,Cifar100,FedAvg,1,5.392821543944227,0.02154008299848495,0.509426293287225,0.04499523063957666,0.14277073541194413
4,Cifar100,FedAvg,2,4.92114391053029,0.028193136157038404,0.528365181360506,0.05565309152826512,0.14557678681803088
5,Cifar100,FedAvg,3,4.706444195032704,0.030037546933667083,0.5572487508161762,0.05575864921956375,0.14893398610269493
6,Cifar100,FedAvg,4,4.595401086172103,0.03761280548053488,0.5859387891314454,0.06000504262180579,0.1486234926377149
7,Cifar100,FedAvg,5,4.522552587150738,0.047295962057835456,0.6135056941184218,0.06472777858087272,0.14316754207033947
8,Cifar100,FedAvg,6,4.476030869705038,0.054212502470193005,0.630897147102277,0.07066412112302863,0.13936538386118083
9,Cifar100,FedAvg,7,4.431773327102398,0.057571964956195244,0.651544394109852,0.07371069995847113,0.12954449527066897
10,Cifar100,FedAvg,8,4.401497249972765,0.057044990448587046,0.6651665998045713,0.07115372157181249,0.1236888255465085
11,Cifar100,FedAvg,9,4.370714800207036,0.06277583821882617,0.6769799150268485,0.07305880124696588,0.11934060474700312
12,Cifar100,FedAvg,10,4.3410862745796095,0.06231473552466899,0.6878565572615102,0.07456668491321816,0.11302408034086511
13,Cifar100,FedAvg,11,4.312265408016378,0.06863842961596733,0.6968713575795781,0.07753813694866941,0.1072817858364961
14,Cifar100,FedAvg,12,4.286773593723638,0.0726566102364798,0.7039277930336305,0.07876472226480924,0.10375550320483155
15,Cifar100,FedAvg,13,4.262631949079566,0.0739740465055003,0.7089402816704085,0.08065677563155826,0.10171143685477892
16,Cifar100,FedAvg,14,4.241118954374769,0.07548909821487386,0.7125713182379247,0.08047069145323239,0.10282888117864916
17,Cifar100,FedAvg,15,4.2157012137556755,0.07660891904354127,0.7190715017640388,0.08370350145624914,0.09662010246609283
18,Cifar100,FedAvg,16,4.189129775129248,0.08062709966405375,0.7258574603877856,0.08267899995839813,0.090319202365275
19,Cifar100,FedAvg,17,4.161489989837364,0.08497463935182135,0.7343106030152067,0.08206472488993853,0.08368739224793258
20,Cifar100,FedAvg,18,4.1441569529928755,0.08168104867927015,0.7370383231554263,0.0825873771541699,0.08302115505332551
21,Cifar100,FedAvg,19,4.125178078397542,0.08490876753837033,0.7398766451883497,0.0868221605428688,0.08272186050243349
22,Cifar100,FedAvg,20,4.108493597870265,0.08734602463605823,0.742266446429122,0.08531433777150733,0.08278173578843076
23,Cifar100,FedAvg,21,4.091223111116738,0.0883341018378236,0.745992074065804,0.08562990822165556,0.08070635251820645
24,Cifar100,FedAvg,22,4.074995299874411,0.08760951188986232,0.7484962490017396,0.08401499133030671,0.07986039629810184
25,Cifar100,FedAvg,23,4.054724483500374,0.08872933271852974,0.75245245214414,0.08383974827606265,0.07533755892929385
26,Cifar100,FedAvg,24,4.0391752002200505,0.09465779592912194,0.755038394332089,0.08793541231982666,0.07286380736897659
27,Cifar100,FedAvg,25,4.023817961212295,0.09478953955602398,0.7559268004510192,0.08870070172858996,0.07465894843080703
28,Cifar100,FedAvg,26,4.010029132748437,0.09979579737830183,0.7582043329189718,0.09313683639067522,0.07340674776685174
29,Cifar100,FedAvg,27,3.9922734298546834,0.09920295105724261,0.7620562652467645,0.08812456188099922,0.0690994818894195
30,Cifar100,FedAvg,28,3.984137070783631,0.09709505302680983,0.7616462463547358,0.08617101229299708,0.07130582537628813
31,Cifar100,FedAvg,29,3.96677012890699,0.10328700349120612,0.7650388232696137,0.08860015627995114,0.06902891352985632
32,Cifar100,FedAvg,30,3.9569616027324432,0.10513141426783479,0.7657053567538837,0.08777998729528025,0.06952346567565659
33,Cifar100,FedAvg,31,3.9433155644449434,0.10658059416375733,0.7669979601860359,0.08822858864629438,0.06803170007940983
34,Cifar100,FedAvg,32,3.9335450725345145,0.10519728608128581,0.7689290192985847,0.08889071028436321,0.06691522033727117
35,Cifar100,FedAvg,33,3.925208348769716,0.10763454317897372,0.7696597888045288,0.08876371008463214,0.06712576246663653
36,Cifar100,FedAvg,34,3.9108036155439354,0.1086884921941901,0.7722166790666632,0.08745807914786409,0.06504168852737971
37,Cifar100,FedAvg,35,3.900355413695362,0.11046703115736776,0.7736617783642415,0.09250625299293165,0.06398509576977264
38,Cifar100,FedAvg,36,3.8938187031723843,0.10987418483630855,0.7738143700144499,0.08984492226946394,0.06465771577063374
39,Cifar100,FedAvg,37,3.8822852124883154,0.11362887820301693,0.774736336473626,0.09292434628080962,0.0638756904473645
40,Cifar100,FedAvg,38,3.873741769939918,0.11231144193399645,0.7768673437850154,0.08887707906283765,0.06220203546920669
41,Cifar100,FedAvg,39,3.86504016361915,0.11415585271062513,0.7790270733035474,0.09125515737710416,0.06011152877498684
42,Cifar100,FedAvg,40,3.858338649287413,0.11553916079309663,0.7787505289132567,0.09188696030201043,0.062071701422113566
43,Cifar100,FedAvg,41,3.851993882551177,0.11514392991239049,0.7790449480158134,0.09406939822766291,0.06205657190456599
44,Cifar100,FedAvg,42,3.8457827867240204,0.11474869903168435,0.7806118346258545,0.08997897894918584,0.06151967969343274
45,Cifar100,FedAvg,43,3.830758583696035,0.11777880245043146,0.7829020178344344,0.09127264415738429,0.05845853007239959
46,Cifar100,FedAvg,44,3.82814900597755,0.1162637507410579,0.78238686055844,0.09144096544784958,0.06011132822509959
47,Cifar100,FedAvg,45,3.8232813262537078,0.1181740333311376,0.7820095999557175,0.0889393474063924,0.06214364772545858
48,Cifar100,FedAvg,46,3.814226505003762,0.11850339239839273,0.783727634039319,0.09011560979031101,0.06068267178356626
49,Cifar100,FedAvg,47,3.8080240516824415,0.11916211053290297,0.784754373692539,0.09124063108405737,0.059477125933886064
50,Cifar100,FedAvg,48,3.795045994260698,0.12232395757855213,0.7872007358349891,0.08765315422693812,0.05665856613574674
51,Cifar100,FedAvg,49,3.792516469641764,0.12219221395165009,0.7868997750946237,0.08926145259267067,0.057316407863066854
52,Cifar100,FedAvg,50,3.7878323087306325,0.12482708648969106,0.7877143440209097,0.09059444226864666,0.05720937843581863
53,Cifar100,FedAvg,51,3.7769926149002946,0.1268691127066728,0.7890392109793661,0.09075224292699857,0.05556699416547119
54,Cifar100,FedAvg,52,3.772782459686071,0.1251564455569462,0.789714776520477,0.09233667930866044,0.05453665683475452
55,Cifar100,FedAvg,53,3.761932047814599,0.1260127791318095,0.7915516509229259,0.09136060249612649,0.0524627341214687
56,Cifar100,FedAvg,54,3.7565994348037957,0.1251564455569462,0.7922023521105711,0.08867209789666762,0.051669322844124656
57,Cifar100,FedAvg,55,3.7487650592663946,0.12693498452012383,0.7931271929137986,0.09193176143674248,0.05097355496121016
58,Cifar100,FedAvg,56,3.7526298210913143,0.12640801001251564,0.7922898414956516,0.09420487574066788,0.0524296303889242
59,Cifar100,FedAvg,57,3.749482767258092,0.12640801001251564,0.7923801677184612,0.09405398083228983,0.053886286334772625
60,Cifar100,FedAvg,58,3.742400079627574,0.13016270337922403,0.7935749645218956,0.09230824909973802,0.05295091628793772
61,Cifar100,FedAvg,59,3.7374639442801834,0.13022857519267506,0.7942752376158286,0.09143759100209839,0.05252837320748083
62,Cifar100,FedAvg,60,3.7364418992502118,0.13029444700612608,0.7940827063316725,0.0904008049041096,0.05293744565380426
63,Cifar100,FedAvg,61,3.722046763475529,0.13167775508859758,0.7958790784286173,0.08961525459289976,0.05029515459556249
64,Cifar100,FedAvg,62,3.718912885367746,0.1325340886634609,0.7962835196868177,0.09093799717117056,0.05044908540968415
65,Cifar100,FedAvg,63,3.719483616823467,0.13207298596930372,0.7960858394606332,0.09059201302216666,0.051207848351701224
66,Cifar100,FedAvg,64,3.7125430413441634,0.13233647322310782,0.7968967866756429,0.08867442487672968,0.05060545184851261
67,Cifar100,FedAvg,65,3.704996006938336,0.1357618075225611,0.7979716909216803,0.08905270448169947,0.049478556042275405
68,Cifar100,FedAvg,66,3.70395465857558,0.1343784994400896,0.7983460989648598,0.08885034226003023,0.049534203849040975
69,Cifar100,FedAvg,67,3.7008425740535436,0.13628878203016928,0.7982542937128431,0.08936029113604543,0.050015192486724085
70,Cifar100,FedAvg,68,3.6928129653058415,0.13595942296291416,0.7997270090937799,0.08736061882206926,0.048152895316598145
71,Cifar100,FedAvg,69,3.690403145153091,0.1376062182991898,0.8000559161416958,0.09067047578349367,0.04845332151098243
72,Cifar100,FedAvg,70,3.685354159565394,0.13806732099334695,0.8003616740795002,0.08822008604985361,0.04849969867288406
73,Cifar100,FedAvg,71,3.683299785803217,0.1390553981951123,0.8007256883272689,0.08896261766885406,0.048596075396295464
74,Cifar100,FedAvg,72,3.685376808465084,0.13918714182201436,0.8002448918535457,0.0917361036026193,0.04973793912300046
75,Cifar100,FedAvg,73,3.685407797234124,0.13945062907581846,0.800058061402175,0.09378414422571646,0.05011096815537398
76,Cifar100,FedAvg,74,3.6832523529396095,0.13892365456821026,0.8006630887754234,0.09033280784757862,0.05022174402981144
77,Cifar100,FedAvg,75,3.6800068646288104,0.1393188854489164,0.8006201310465023,0.08795219377529867,0.05059232998715621
78,Cifar100,FedAvg,76,3.6769925017677476,0.13885778275475924,0.8011769642480728,0.08937479333991365,0.04976288586003229
79,Cifar100,FedAvg,77,3.671047541528613,0.14076806534483893,0.8017461976624872,0.09111643966427072,0.04892968851155903
80,Cifar100,FedAvg,78,3.6669656891818923,0.1412291680389961,0.8022245172283676,0.08928914921711599,0.04868844518662502
81,Cifar100,FedAvg,79,3.6629868872898395,0.14024109083723074,0.802728961011895,0.0902111721755306,0.04738254258077319
82,Cifar100,FedAvg,80,3.6633956367389096,0.14155852710625125,0.803055831492614,0.09182844222813114,0.04787894686308034
83,Cifar100,FedAvg,81,3.66178939286469,0.14274421974836968,0.803079743969491,0.0887155215731895,0.047786824690357874
84,Cifar100,FedAvg,82,3.6625147670813,0.14248073249456558,0.8029895456807887,0.09139460505175666,0.04855980173569624
85,Cifar100,FedAvg,83,3.6543922390460577,0.14155852710625125,0.8041069398593599,0.09287345225403973,0.04718375599498996
86,Cifar100,FedAvg,84,3.6520788692246873,0.1441933996442922,0.8041807267702559,0.08986506425639632,0.046703197311172145
87,Cifar100,FedAvg,85,3.652171566810639,0.14340293788287992,0.804403830998806,0.08913638748243305,0.04692364023400243
88,Cifar100,FedAvg,86,3.645200753134096,0.14465450233844937,0.804993178319977,0.08518344804847817,0.046998635316742726
89,Cifar100,FedAvg,87,3.6448584108038546,0.1450497332191555,0.805477972905643,0.08974702931778869,0.04690726558772737
90,Cifar100,FedAvg,88,3.6433736924715823,0.14320532244252684,0.8056196815094344,0.08793683047772836,0.04709204980411405
91,Cifar100,FedAvg,89,3.6403361455129306,0.14643304130162704,0.8059691630128571,0.08973730686905676,0.04667616816401552
92,Cifar100,FedAvg,90,3.63749987802059,0.14570845135366578,0.8060556729861607,0.0916219931520662,0.04598183115180849
93,Cifar100,FedAvg,91,3.636303833538862,0.1457743231671168,0.806344081093792,0.0898971872688994,0.046216635963145486
94,Cifar100,FedAvg,92,3.6316943835156463,0.14755286213029445,0.8064507808100444,0.09014108643474054,0.04605411460685313
95,Cifar100,FedAvg,93,3.631359534632023,0.14696001580923523,0.8064908254698038,0.08952555946075218,0.04638986936454949
96,Cifar100,FedAvg,94,3.632240468637338,0.14748699031684342,0.8066577688815191,0.09132347738686432,0.04606858012255991
97,Cifar100,FedAvg,95,3.627260062182061,0.14755286213029445,0.8074145588450559,0.09042790181964194,0.04559312084124096
98,Cifar100,FedAvg,96,3.6258468390398066,0.14834332389170674,0.8073346375909971,0.08961210617926527,0.04585164830698073
99,Cifar100,FedAvg,97,3.6216669542994326,0.14979250378762926,0.8076829554439521,0.09126077676435661,0.04522770338976279
100,Cifar100,FedAvg,98,3.6210921785649948,0.1496607601607272,0.8078666694133312,0.09006400667883224,0.04559814300617409
101,Cifar100,FedAvg,99,3.616074073932292,0.15157104275080693,0.8082211341668692,0.08792153569133211,0.04531314673792998
102,Cifar100,FedAvg,100,3.6199968396378845,0.1488044265858639,0.8078982568161066,0.08745652382661168,0.04599117240479073
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA,0,4.616148001441786,0.009287925696594427,0.5019225793459141,0.020087653556514685,0.1046251435653638
3,Cifar100,FedALA,1,4.552897773499866,0.026743956261115868,0.598701994185657,0.05334291845045212,0.1096718490148676
4,Cifar100,FedALA,2,4.497927853421003,0.046242013042619066,0.640449486599846,0.07261759270833132,0.10883271475483071
5,Cifar100,FedALA,3,4.438352960259975,0.06139253013635465,0.6712767722453127,0.08373152946225144,0.10334017576691483
6,Cifar100,FedALA,4,4.375794392165985,0.07542322640142284,0.6968905874629674,0.09482828504172312,0.09902565271200893
7,Cifar100,FedALA,5,4.31123824442334,0.08932217903958896,0.7213902621803805,0.1016275062209192,0.09238558264610265
8,Cifar100,FedALA,6,4.247733770075754,0.09841248929583031,0.7427055575384361,0.10439534888266752,0.08690071773402917
9,Cifar100,FedALA,7,4.186372614568834,0.10546077333508992,0.7594421334251539,0.10709435915666243,0.08107060895708815
10,Cifar100,FedALA,8,4.134659972903452,0.11547328897964561,0.7719275676859593,0.11036319339462017,0.07780642756158794
11,Cifar100,FedALA,9,4.084297333035384,0.12397075291482774,0.7828060683979435,0.11012481236654807,0.07442442131507122
12,Cifar100,FedALA,10,4.036622586024023,0.12884526711020355,0.7929543477053835,0.11012173662087012,0.07057648296125378
13,Cifar100,FedALA,11,3.993785795331726,0.13859429550095514,0.7999975780966921,0.11410459211881847,0.06835254304756644
14,Cifar100,FedALA,12,3.957198952678846,0.14570845135366578,0.8047972921792197,0.11568285459884235,0.0673900657638161
15,Cifar100,FedALA,13,3.923440963308388,0.1468941439957842,0.8093185285778494,0.11680505864070169,0.06649770594447785
16,Cifar100,FedALA,14,3.8924963009810667,0.1528226072063764,0.81284601963503,0.11851277895414959,0.06584603595947335
17,Cifar100,FedALA,15,3.8611569898269775,0.1620446610895198,0.8171383065581961,0.12036982663619743,0.06479176403255416
18,Cifar100,FedALA,16,3.8294147776666088,0.1683024833673671,0.8218199492680015,0.12429998409025209,0.06238792441735424
19,Cifar100,FedALA,17,3.799656249360352,0.1729135103089388,0.8265058811849705,0.12572962871187254,0.0605176836303723
20,Cifar100,FedALA,18,3.7761373381661847,0.17462617745866543,0.8290593258638825,0.12357648379897396,0.05972221378888149
21,Cifar100,FedALA,19,3.753422682746743,0.17409920295105724,0.831768970907441,0.12430987983919223,0.05867537660675937
22,Cifar100,FedALA,20,3.7336343221272434,0.17554838284697977,0.8336294260488883,0.12392779761694617,0.05797967659579548
23,Cifar100,FedALA,21,3.7136146969787007,0.18015940978855147,0.8358442461093564,0.12415624635318999,0.05768688502638074
24,Cifar100,FedALA,22,3.695482118680726,0.1823990514458863,0.8374328971681468,0.12593372157909594,0.05737577794280344
25,Cifar100,FedALA,23,3.6748399305404202,0.18608787299914367,0.8400777590795223,0.12524308239425494,0.05600765659682863
26,Cifar100,FedALA,24,3.659452012679655,0.18878861735063565,0.8412296304544817,0.12583142460988367,0.05559644734672418
27,Cifar100,FedALA,25,3.643033847284451,0.19148936170212766,0.8424299238725148,0.12953484015271524,0.05567450867853578
28,Cifar100,FedALA,26,3.6285437696393914,0.195112311441934,0.8436800284260824,0.13061869333107892,0.05545546786245766
29,Cifar100,FedALA,27,3.6128694760086595,0.19603451683024833,0.845601440278422,0.13039096642514966,0.05453875672272634
30,Cifar100,FedALA,28,3.600866998002378,0.1970225940320137,0.8461974275961806,0.13076673270586614,0.054995627800569775
31,Cifar100,FedALA,29,3.5840724733799343,0.20617877610170607,0.8478640930188807,0.13172834507679332,0.054440755079648635
32,Cifar100,FedALA,30,3.571870311776952,0.20716685330347145,0.848911023049624,0.13013152875767084,0.05413593785616901
33,Cifar100,FedALA,31,3.558628020188346,0.20762795599762862,0.849984703748843,0.13001137370607155,0.05412712345072131
34,Cifar100,FedALA,32,3.5478751966908066,0.20769382781107965,0.8509377770213011,0.13040599500661612,0.05390521879592018
35,Cifar100,FedALA,33,3.540104970288638,0.20881364863974705,0.8512735175643781,0.1318184473477851,0.05394854717272704
36,Cifar100,FedALA,34,3.5271099913456663,0.21144852117778803,0.852419210734974,0.1306588468974602,0.053790773533412696
37,Cifar100,FedALA,35,3.5155707859493255,0.21237072656610237,0.8534742543805541,0.1316478366100877,0.0538424650785237
38,Cifar100,FedALA,36,3.5082780842923413,0.21375403464857387,0.8534888407183501,0.13265165028974762,0.053580742806983606
39,Cifar100,FedALA,37,3.4974544068211793,0.2152032145444964,0.8542386919776429,0.13377168740283826,0.053383161422325534
40,Cifar100,FedALA,38,3.489077492889935,0.21553257361175154,0.8551886594785139,0.13277957959253428,0.05304728308247576
41,Cifar100,FedALA,39,3.4791830920467857,0.21810157433634147,0.8562875003714291,0.13180635539752192,0.052584925343654054
42,Cifar100,FedALA,40,3.4694582322214726,0.21968249785916608,0.8565955452667954,0.13143703145796273,0.053122213699275715
43,Cifar100,FedALA,41,3.463100931289873,0.21823331796324352,0.8570105037165127,0.13239029869292607,0.05325277747535533
44,Cifar100,FedALA,42,3.456176654362936,0.22152690863579474,0.8579152344981403,0.13256733357512795,0.05275668023741027
45,Cifar100,FedALA,43,3.4424873297665126,0.22422765298728675,0.8592972689306905,0.13405286163955166,0.05221330828015277
46,Cifar100,FedALA,44,3.438616088055167,0.22238324221065806,0.8593413119843895,0.13403458406819654,0.05237662188070301
47,Cifar100,FedALA,45,3.4323010271468015,0.222251498583756,0.8594056451626495,0.13357902294023738,0.05269673743958659
48,Cifar100,FedALA,46,3.423209220287253,0.2240959093603847,0.860117899261527,0.13483329309882444,0.05222212174403203
49,Cifar100,FedALA,47,3.4156296283058047,0.2225149858375601,0.8606154337944784,0.13386788668378974,0.05230043879172577
50,Cifar100,FedALA,48,3.4041693124934667,0.22580857651011133,0.8619929923970082,0.1326190819095971,0.05168648437435821
51,Cifar100,FedALA,49,3.4000005252174605,0.22501811474869904,0.8619192064428425,0.13239844015097682,0.051953149897546354
52,Cifar100,FedALA,50,3.3902629147790844,0.23048547526513405,0.8626487950609987,0.1350981956026063,0.051758897260604106
53,Cifar100,FedALA,51,3.3805123134269848,0.2308807061458402,0.8635079651770349,0.1340831268600595,0.05141496715673515
54,Cifar100,FedALA,52,3.3769630388354295,0.23055134707858507,0.8635965864080146,0.13417515175099426,0.0513548064818417
55,Cifar100,FedALA,53,3.366588000549875,0.2352282458336078,0.8644618394896211,0.133497950944862,0.05073782080867453
56,Cifar100,FedALA,54,3.360389646120074,0.23417429681839141,0.8647305790014161,0.13289931548306724,0.05088514361302177
57,Cifar100,FedALA,55,3.3510353527844856,0.235755220341216,0.8655960552633613,0.13460981863635899,0.050645577514559115
58,Cifar100,FedALA,56,3.348971371852533,0.23555760490086292,0.865246991991009,0.13593783626415737,0.05113467082360982
59,Cifar100,FedALA,57,3.347269159443484,0.2325933732955668,0.8651263149927033,0.13449313828600892,0.05130327418576263
60,Cifar100,FedALA,58,3.3392619198305984,0.2349647585798037,0.8659184586154847,0.13489822715488245,0.05122108451397834
61,Cifar100,FedALA,59,3.33532352273255,0.23588696396811804,0.8664048636392265,0.13574778247124086,0.05074509371004972
62,Cifar100,FedALA,60,3.3317090637745954,0.23503063039325472,0.866279825691925,0.13331324285501464,0.0506810481196964
63,Cifar100,FedALA,61,3.3185783883056628,0.23825834925235492,0.867595419966947,0.13405840746894618,0.049856239405542103
64,Cifar100,FedALA,62,3.311357719589303,0.23839009287925697,0.8679329591629743,0.1341930929064056,0.04991760702191751
65,Cifar100,FedALA,63,3.311463468715788,0.2354917330874119,0.8677523738247428,0.13375328118193008,0.05006803790033378
66,Cifar100,FedALA,64,3.305708757600749,0.23753375930439366,0.8680473264899182,0.13637670190010864,0.05001105441144437
67,Cifar100,FedALA,65,3.299921562581668,0.23997101640208154,0.8685259116070289,0.13531968504059427,0.049658184735430745
68,Cifar100,FedALA,66,3.297632323225617,0.23878532375996311,0.8686798891430685,0.1354008525347933,0.049611133361994735
69,Cifar100,FedALA,67,3.2911601145225733,0.24076147816349383,0.8690250201453444,0.13602787932600532,0.04945432934385485
70,Cifar100,FedALA,68,3.284656535966915,0.2416836835518082,0.8699272423490706,0.1342406014541446,0.0487962902850344
71,Cifar100,FedALA,69,3.2813292664545286,0.2428035043804756,0.8699264519138462,0.13387862941269044,0.04921339325042333
72,Cifar100,FedALA,70,3.2770135124693893,0.24379158158224096,0.8700102495095768,0.13596535198512066,0.04899490650431207
73,Cifar100,FedALA,71,3.273455920685399,0.24398919702259403,0.8700820247068903,0.1360201262827191,0.04900076415047041
74,Cifar100,FedALA,72,3.272465627489392,0.24115670904419997,0.8699831895164396,0.13762653593768542,0.049457150871707094
75,Cifar100,FedALA,73,3.2702192080863512,0.24319873526118174,0.8700357787881843,0.1364612127862488,0.0492023617857673
76,Cifar100,FedALA,74,3.2682261496887763,0.24260588894012253,0.8701956729012609,0.13585419004118673,0.04904630755409787
77,Cifar100,FedALA,75,3.2639346807538008,0.24234240168631843,0.8701421087385817,0.137999479874524,0.049119639484191874
78,Cifar100,FedALA,76,3.2604685032792795,0.24273763256702457,0.8703358325101975,0.1382425584598799,0.04898639976944927
79,Cifar100,FedALA,77,3.252297215242804,0.24484553059745734,0.8709494884852241,0.13824359418315327,0.04898660255178859
80,Cifar100,FedALA,78,3.2475038805908736,0.24543837691851655,0.8710983060369978,0.13881716448086814,0.048963141930380684
81,Cifar100,FedALA,79,3.243232944934124,0.24451617153020222,0.8715635553663531,0.13818919532215865,0.04891002199408621
82,Cifar100,FedALA,80,3.2425842576824744,0.24385745339569198,0.8715428150742474,0.13950864273789765,0.04905938597128398
83,Cifar100,FedALA,81,3.2394988481994766,0.2450431460378104,0.8717455691678222,0.13986530394393698,0.04859173290686103
84,Cifar100,FedALA,82,3.2383943473175405,0.24431855608984915,0.8714166944660583,0.1389784651210352,0.049201406076951525
85,Cifar100,FedALA,83,3.231937073799175,0.2441868124629471,0.8720725262429809,0.13737933508860387,0.04884254726469953
86,Cifar100,FedALA,84,3.2284441165488813,0.24642645412028194,0.8722747028575751,0.1367242098664984,0.048481588739665925
87,Cifar100,FedALA,85,3.2261478422493046,0.24609709505302682,0.872341180364429,0.13757618148152023,0.048489802828727
88,Cifar100,FedALA,86,3.219743456795951,0.24616296686647784,0.8727394122673373,0.13568523574063376,0.04834837878731902
89,Cifar100,FedALA,87,3.21919246252517,0.2455701205454186,0.872717907957459,0.13892437937613983,0.04864487494543345
90,Cifar100,FedALA,88,3.2159358745434248,0.2444502997167512,0.8728548906488373,0.1360451855951646,0.04862742544739638
91,Cifar100,FedALA,89,3.2117222739092375,0.24412094064949608,0.873119193641085,0.13793902259954383,0.04852874142377238
92,Cifar100,FedALA,90,3.209155496273745,0.24458204334365324,0.8732975769209754,0.13796614677933525,0.04794621827088001
93,Cifar100,FedALA,91,3.207247643751562,0.24642645412028194,0.8731888588327956,0.1385163755682825,0.04788803615583638
94,Cifar100,FedALA,92,3.202089681581884,0.2476780185758514,0.8733148651972423,0.1378705978435215,0.04814148548323185
95,Cifar100,FedALA,93,3.200171596990308,0.2485343521507147,0.873199024359386,0.13856221295937649,0.04815398716500192
96,Cifar100,FedALA,94,3.197569592788014,0.24642645412028194,0.8733707147026355,0.1364445235242344,0.04834126604765761
97,Cifar100,FedALA,95,3.193093316204134,0.24807324945655754,0.8737485890491117,0.13767698812249887,0.04791257350689972
98,Cifar100,FedALA,96,3.1905561495136623,0.249324813912127,0.8736959676859445,0.13671905341219526,0.04812032131454437
99,Cifar100,FedALA,97,3.1878631246489064,0.2503787629273434,0.8739487738601422,0.13941983430518626,0.04795901593547021
100,Cifar100,FedALA,98,3.1857125366267356,0.2485343521507147,0.8740349267447565,0.13770785744811184,0.04786988901033194
101,Cifar100,FedALA,99,3.1808389686119014,0.2480073776431065,0.8744270554299504,0.13775124171755643,0.047593866537679046
102,Cifar100,FedALA,100,3.1817145114931047,0.24695342862789013,0.8741523318628686,0.13560729732850116,0.047888229204162976
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedProx,0,4.616148001441786,0.009287925696594427,0.5019225793459141,0.020087653556514685,0.1046251435653638
